BHID,AT,DIP,BRG,Random Numeric
WP036,141.5,65.75,91.75,0.603263805
WP036,149,66.5,93,0.861736152
WP036,156.5,67.25,94.25,0.80040295
WP036,164,68,95.5,0.33236694
WP036,191,67.5,94.5,0.919364274
WP036,218,67,93.5,0.965335785
WP036,231.5,67,92,0.246953895
WP036,245,67,90.5,0.058519131
WP036,258.5,67,89,0.693571996
WP036,272,67,87.5,0.998487351
WP036,326,60,86.5,0.534737935
WP036,419.649994,67,89,0.935112073
WP037,0,70,90,0.391312238
WP037,42.200001,70,94.5,0.7007906
WP037,102.199997,70,94.5,0.034325425
WP037,165.199997,70,94.5,0.207151264
WP037,195.199997,70,95.5,0.282857742
WP037,200,70,95.5,0.177961538
WP038,0,71,273,0.836628408
WP038,100,71,273,0.169123654
WP038,174,71,274,0.094519457
WP038,249,71,275,0.616142758
WP038,254.630005,71,277.75,0.268282537
WP038,260.25,71,280.5,0.311297214
WP038,271.5,71,283.25,0.327563496
WP038,275.25,71,284.630005,0.492720392
WP038,279,71,286,0.023658328
WP038,309,69,286,0.488932821
WP038,339,69,288,0.866140417
WP038,354,69,290,0.515743664
WP038,369,69,292,0.632653213
WP038,399,69,294,0.642054073
WP038,401.399994,69,294,0.162969477
WP039,0,69,271.5,0.864401583
WP039,24,69,271.5,0.143895686
WP039,119.050003,69,271.5,0.321548615
WP040,0,71,275.5,0.432150144
WP040,29,71,275.5,0.360108015
WP040,65,71,275.5,0.039832561
WP040,116,71,275.5,0.648921513
WP040,167,71,275.5,0.39915976
WP040,179.75,71,276.75,0.748713176
WP040,192.5,71,278,0.155457662
WP040,205.25,71,279.25,0.261356837
WP040,218,71,280.5,0.424973872
WP040,243.5,71.5,279,0.646941316
WP040,269,72,277.5,0.220314646
WP040,320,71,277.5,0.108602476
WP040,371,71,276.5,0.239042376
WP040,386,71,277.5,0.700215482
WP040,401,71,278.5,0.141419902
WP040,431,71,277.5,0.387048773
WP040,446,71,279,0.005940383
WP040,461,71,280.5,0.068112729
WP040,476,71,281.5,0.045006667
WP040,491,71,282.5,0.39576378
WP040,500,71,282.5,0.803271855
WP041,0,60,90,0.815496157
