X,Y,Z,Hole ID,CU_pct,AU_gpt,DENSITY
445117.025356,493864.477665,2868.573470,WP003,1.2,1.64,3.17
445115.610769,493864.514708,2867.160115,WP003,1.1,1.04,3.21
445114.196459,493864.551743,2865.746483,WP003,1,1.05,3.22
445112.711732,493864.590622,2864.261873,WP003,0.88,0.97,3.2
445202.639073,493720.600521,3033.047969,WP004,0.38,1.86,
445201.229219,493720.489563,3031.633756,WP004,0.38,0.99,
445199.819365,493720.378605,3030.219542,WP004,0.64,0.67,
445198.409511,493720.267647,3028.805329,WP004,0.54,1.69,3.09
445196.999657,493720.156689,3027.391115,WP004,0.56,0.51,3.11
445195.589803,493720.045731,3025.976902,WP004,0.62,1.88,
445194.179949,493719.934774,3024.562688,WP004,0.78,2.77,
445192.770095,493719.823816,3023.148474,WP004,0.47,5.09,2.3
445191.360241,493719.712858,3021.734261,WP004,0.36,4.73,3.16
445189.950387,493719.601900,3020.320047,WP004,0.4,4.29,3.16
445188.540533,493719.490942,3018.905834,WP004,0.41,1.44,3.12
445187.130679,493719.379984,3017.491620,WP004,0.32,0.99,2.99
445185.720825,493719.269026,3016.077407,WP004,0.14,0.34,3.06
445184.310971,493719.158068,3014.663193,WP004,0.07,0.29,2.98
445182.901117,493719.047110,3013.248980,WP004,0.04,0.35,2.93
445181.491263,493718.936152,3011.834766,WP004,0.2,0.53,3.07
445180.081409,493718.825194,3010.420552,WP004,0.18,0.78,3.02
445178.671555,493718.714236,3009.006339,WP004,0.14,0.83,3.01
445177.261701,493718.603279,3007.592125,WP004,0.19,0.86,2.99
445175.851847,493718.492321,3006.177912,WP004,0.18,0.79,2.97
445174.441993,493718.381363,3004.763698,WP004,0.34,1.63,3.15
445173.032139,493718.270405,3003.349485,WP004,0.78,0.5,3.15
445171.622285,493718.159447,3001.935271,WP004,0.6,1.31,3.14
445170.212431,493718.048489,3000.521057,WP004,0.53,0.78,3.13
445168.802577,493717.937531,2999.106844,WP004,0.46,2.46,3.17
445167.392723,493717.826573,2997.692630,WP004,0.54,1.86,3.13
445165.982869,493717.715615,2996.278417,WP004,0.31,1.19,3.3
445164.573015,493717.604657,2994.864203,WP004,0.4,1.86,3.15
445163.163161,493717.493699,2993.449990,WP004,0.4,2.38,3.16
445161.753307,493717.382741,2992.035776,WP004,1.28,0.64,3.15
445160.343453,493717.271784,2990.621563,WP004,0.5,0.27,3.13
445158.933599,493717.160826,2989.207349,WP004,0.55,0.36,3.14
445157.523745,493717.049868,2987.793135,WP004,0.43,0.37,3.14
445156.113891,493716.938910,2986.378922,WP004,0.46,0.29,3.15
445154.704037,493716.827952,2984.964708,WP004,0.4,0.53,3.16
445153.294183,493716.716994,2983.550495,WP004,0.47,1.65,3.13
445151.884328,493716.606036,2982.136281,WP004,0.64,0.58,3.14
445150.474474,493716.495078,2980.722068,WP004,0.67,1.16,3.2
445149.064620,493716.384120,2979.307854,WP004,0.88,1.13,3.14
445147.654766,493716.273162,2977.893640,WP004,0.53,0.64,3.17
445146.244912,493716.162204,2976.479427,WP004,0.8,1.01,3.15
445144.835058,493716.051246,2975.065213,WP004,0.5,1.84,3.13
445143.425204,493715.940289,2973.651000,WP004,0.63,1.57,3.15
445142.015350,493715.829331,2972.236786,WP004,0.7,0.85,3.13
445140.605496,493715.718373,2970.822573,WP004,0.76,1.11,3.13
445139.195642,493715.607415,2969.408359,WP004,0.61,3.18,3.14
445137.785788,493715.496457,2967.994146,WP004,0.8,1.4,3.17
445136.375934,493715.385499,2966.579932,WP004,0.51,0.84,3.13
445134.966080,493715.274541,2965.165718,WP004,0.35,0.65,3.15
445133.556226,493715.163583,2963.751505,WP004,0.51,0.47,3.13
445132.146372,493715.052625,2962.337291,WP004,0.32,0.15,3.13
445130.736518,493714.941667,2960.923078,WP004,0.36,0.29,3.14
445129.326664,493714.830709,2959.508864,WP004,0.47,0.61,3.14
445127.916810,493714.719751,2958.094651,WP004,0.36,0.31,3.14
445126.506956,493714.608794,2956.680437,WP004,0.35,0.36,3.17
445125.097102,493714.497836,2955.266223,WP004,0.57,0.43,3.13
445123.687248,493714.386878,2953.852010,WP004,0.76,2.04,3.17
